SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Glass Transition Temperature (°„C),¿¥‘¥
[*]C(C=C1)=CC=C1S[*],[*]OCCCCOC(CCC([*])=O)=O,,,,41.6,10.1021_acs.iecr.5b00637_part_2.txt_∂Œ1_Material3
[*]O[C@H](C)CC([*])=O,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,38,10.3906_biy-1610-46_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,50,10.1002_jbm.a.36214_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C(F)(C(F)([*])F)F,,,,67,10.1177_1350650113495530_part_1.txt_∂Œ1_Material3
[*]NCCCCCCCCCCCC([*])=O,[*]C(C)C[*],[*]C(C)C[*],,,50,10.1016_j.polymertesting.2015.04.008_part_2.txt_∂Œ1_Material3
C=C([CH3])C(=O)O[CH3],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,105,10.1021_acsomega.9b00388_part_2.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,168.2,10.1016_j.cap.2017.05.007_part_3.txt_∂Œ1_Material1
[*]CC(C)(C(OCCO)=O)[*],[*]CC[*],,,,48,10.1080_03602559.2011.593084_part_1.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,[*]C(OCCCO[*])=O,,,,44,10.1039_d0gc01394c_part_4.txt_∂Œ1_Material4
FC(F)([*])C([H])([*])[H],[*]OCC[*],,,,50,10.1080_19443994.2015.1084597_part_3.txt_∂Œ1_Material3
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]CC(C#N)[*],,,,68.21,10.3390_polym13121984_part_2.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Ti]=O,,,68,10.1016_j.porgcoat.2010.09.029_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]O[C@@]([H])(C)C(O[C@](C)([H])C([*])=O)=O,[*]OCC[*],,,60,10.1002_pi.5506_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(CC)([*])C(OCC1=CC=CC=C1)=O,,,,61.2,10.1021_am502337u_part_2.txt_∂Œ1_Material3
[*]CC(CC(C#N)[*])C1=CC=CC=C1,[*]CC(C(OC)=O)(CC(C/C=C/CCC(C1=CC=CC=C1)[*])C#N)C,,,,132,10.1002_app.45364_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],CC1=CC=C(C=C1N=C=O)N=C=O,,,36.1,10.1021_ie101798n_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,O=C([O-])[O-].[Ca+2],,,,27.4,10.1007_s10924-011-0384-3_part_1.txt_∂Œ1_Material3
C=C([CH3])C(=O)O[CH3],O=C([*])CCCCCN[*],,,,107,10.4047_jap.2013.5.2.153_part_1.txt_∂Œ1_Material3
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,40.3,10.1016_j.carbpol.2014.01.062_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(C1=CC=CC=C1)[*],,,,65.51,10.1002_pen.25179_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[Al],,,,69,10.1007_s00542-017-3369-x_part_1.txt_∂Œ1_Material1
[*]C1OC(CCC)OC(C[*])C1,O=[Ti]=O,,,,67.5,10.1016_j.compscitech.2017.04.017_part_4.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,CC(CO[*])[*],,,,64,10.1002_app.45299_part_2.txt_∂Œ1_Material1
[*]C(C(O[*])C)=O,[*]C(CCCCCO[*])=O,,,,48.8,10.1080_03602551003681846_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,70,10.1002_app.39574_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,,,100,10.1016_j.eurpolymj.2009.07.019_part_1.txt_∂Œ1_Material3
C=C([CH3])C(=O)O[CH3],C/C(C[*])=C/C[*],,,,105,10.1007_s00289-018-2547-z_part_3.txt_∂Œ1_Material1
[*]CC([*])Cl,C=C(C(OCC1CO1)=O)C,,,,80,10.3844_ajassp.2011.675.680_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[Ag],,,,46.150000000000034,10.1016_j.compscitech.2021.108728_part_1.txt_∂Œ1_Material2
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OCC[*],,,,80,10.4028_www.scientific.net_kem.751.230_part_1.txt_∂Œ1_Material6
[*]C(C(OC(CO[*])=O)C)=O,[*]C(CCCCCO[*])=O,,,,54,10.1080_03602551003681846_part_1.txt_∂Œ1_Material2
C=C([CH3])C(=O)O[CH3],[*]C(C)C[*],,,,88,10.1002_pc.23601_part_1.txt_∂Œ1_Material1
O=C(CCCCCCCCCCC(NCCCCCCCCCCN[*])=O)[*],O=C([*])CCCCCCCCCCC(NCCCCCCN[*])=O,,,,45.5,10.1016_j.polymer.2017.04.038_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C1=CC=C([*])N1,,,,30.8,10.1016_j.actbio.2010.10.013_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC(CC[*])O,,,,56.1,10.1021_bm301430j_part_2.txt_∂Œ1_Material2
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,86,10.1007_s10973-010-0894-6_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C=C([CH3])C(=O)OC([CH3])[CH3],,,,85,10.1007_s12221-014-1469-0_part_1.txt_∂Œ1_Material2
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CC[*],,,,22,10.4028_www.scientific.net_amr.860-863.855_part_1.txt_∂Œ1_Material2
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]CCCCOCCCCOCCCCOCCCCO[*],,,,173,10.1177_0954008315613423_part_2.txt_∂Œ1_Material2
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,,78,10.1002_pat.2052_part_2.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,O=C([*])C(C)O[*],,,,40,10.1016_j.eurpolymj.2019.05.012_part_1.txt_∂Œ1_Material1
O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,,,,90.2,10.1016_j.ijbiomac.2020.05.080_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,50,10.1007_s00289-021-03596-y_part_2.txt_∂Œ1_Material4
[*]CC([*])Cl,[*]C(CCCCC(OCCCCO[*])=O)=O,,,,35,10.1177_0731684410367962_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,151.4,10.1002_app.40108_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]CCC(CCCCCC)C[*],,,,60.9,10.1080_03602559.2013.812219_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,,,,72.5,10.1016_j.matpr.2019.06.335_part_1.txt_∂Œ1_Material2
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C(CCCCCO[*])=O,,,,43,10.1021_acsami.5b10675_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,74.5,10.52547_jcc.3.3.3_OA_part_1.txt_∂Œ1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]C(CCCCCO[*])=O,,,,19,10.3390_ma6104489_part_2.txt_∂Œ1_Material2
[*]C(C)C[*],[*]NCCCCCCCCCCCC([*])=O,,,,8.5,10.1002_pen.24631_part_1.txt_∂Œ1_Material2
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,,,164.56,10.1590_s0101-20612011000200026_part_1.txt_∂Œ1_Material5
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,55,10.1021_acsomega.0c02765_part_2.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,72,10.1016_j.polymertesting.2014.03.006_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[Mg]=O,,,,42,10.1007_s12033-021-00311-0_part_4.txt_∂Œ1_Material4
[*]O[C@H](C)CC([*])=O,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,,15.5,10.1016_j.polymdegradstab.2016.09.017_part_3.txt_∂Œ1_Material1
[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1,,,,,115,10.1016_j.polymertesting.2017.03.022_part_4.txt_∂Œ1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,37.4,10.1002_app.32095_part_2.txt_∂Œ1_Material4
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,57,10.1016_j.eurpolymj.2013.06.038_part_2.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,98,10.1007_s42114-018-0060-3_part_2.txt_∂Œ1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,,89,10.3390_molecules25225347_part_3.txt_∂Œ1_Material1
[*]CC[*],[*]CC(C)(C(OCCO)=O)[*],,,,50,10.1080_03602559.2010.496416_part_2.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,O=C([*])C(C)O[*],,,,54.53,10.1177_0883911515592424_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,O=[Si]=O,,,,67.2,10.1080_03602559.2017.1329439_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,,,,55,10.3390_ma13081941_part_2.txt_∂Œ1_Material2
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]NC(C(O)=O)CCC([*])=O,,,,73.1,10.3390_polym13030452_part_2.txt_∂Œ1_Material4
[*]C(C(OC(CO[*])=O)C)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,45.5,10.2478_s11696-013-0438-1_part_1.txt_∂Œ1_Material1
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,O=C([*])C(C)O[*],,,,45,10.1002_pi.3087_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,147.1,10.1002_pi.6213_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,C(C1=CC=C(N2C(=O)C=CC2=O)C=C1)C1=CC=C(N2C(=O)C=CC2=O)C=C1,,,,16,10.1016_j.polymer.2018.10.056_part_4.txt_∂Œ1_Material1
[*]C1OC(CCC)OC(C[*])C1,C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,,,,60,10.1177_08927057211021464_part_1.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,,59.73,10.1080_01694243.2020.1832775_part_2.txt_∂Œ1_Material1
O=C(O[*])CCCCCCCCCCN[*],CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,,60,10.1016_j.polymer.2015.11.025_part_1.txt_∂Œ1_Material1
C[Si](C)(C[*])O[*],O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,,,,186,10.1016_j.polymer.2021.123480_part_3.txt_∂Œ1_Material2
OP(O)(O)=O,CC(CO[*])[*],,,,46.6,10.1002_app.32585_part_1.txt_∂Œ1_Material2
O=C([*])CCCCCN[*],COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,,,,43,10.1002_app.42963_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]O[C@H](C)CC([*])=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,53,10.1007_s10973-019-08218-4_part_3.txt_∂Œ1_Material2
COC(C(C[*])([*])C)=O,[*]CC(CC(C#N)[*])C1=CC=CC=C1,,,,113,10.1016_j.polymertesting.2019.106265_part_2.txt_∂Œ1_Material4
C=C(C)C(=O)OCCCC,[*]CC(C)(C(OCCO)=O)[*],,,,35,10.1080_03602559.2011.551971_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Ti]=O,,,,67,10.1007_s42824-021-00025-3_part_2.txt_∂Œ1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=C([O-])[O-].[Ca+2],,,,99.6,10.1002_app.46023_part_2.txt_∂Œ1_Material2
[*]CC(C1=CC=CC=C1)[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,104.9,10.1002_app.47740_part_2.txt_∂Œ1_Material1
[*]CC[*],[*]CC(CC[*])O,,,,60,10.1021_acs.iecr.9b02145_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]OCC[*],,,,102.1,10.1016_j.foodhyd.2015.11.029_part_2.txt_∂Œ1_Material2
[*]C(CCCCCO[*])=O,[Ag],,,,55.67,10.3390_membranes9010012_part_2.txt_∂Œ1_Material2
[*]C(C=C1)=CC=C1S[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,,100,10.1080_20550340.2019.1703334_part_3.txt_∂Œ1_Material2
[*]CC(C#N)[*],C[Si](C)(C[*])O[*],,,,104,10.1021_acsami.6b09392_part_2.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[H]O[H],,,,150,10.1021_bm400012k_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],NC1=NC2=C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)C(=O)N1,,,,60.5,10.3390_polym10010018_part_3.txt_∂Œ1_Material2
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,,99.6,10.1002_app.46023_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C1OC1C[N+]([CH3])([CH3])[CH3].[Cl-],,,,42.2,10.1016_j.ijbiomac.2019.10.246_part_3.txt_∂Œ1_Material3
O=C([*])C(C)O[*],CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,,,,44.5,10.1016_j.ijbiomac.2019.10.246_part_3.txt_∂Œ1_Material2
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,,51.5,10.1080_15685543.2013.806116_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCCCCCCC(NCCCCCCN[*])=O,,,,,75,10.1002_pen.24888_part_1.txt_∂Œ1_Material1
[*]CC1C(C(CO)(C[*])CCC1)=O,O=C([*])CCCCCN[*],,,,26.2,10.1016_j.polymertesting.2020.106777_part_1.txt_∂Œ1_Material1
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,[*]O[C@H](C)CC([*])=O,,,,10,10.1080_10643389.2014.966422_part_1.txt_∂Œ1_Material1
[*]C1OC(CCC)OC(C[*])C1,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,,,,60,10.1177_08927057211021464_part_1.txt_∂Œ1_Material1
COC(C(C[*])([*])C)=O,[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,111,10.1016_j.polymertesting.2019.106265_part_2.txt_∂Œ1_Material5
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]OC1=C(C([*])=CC=C1C)C,,,,81.7,10.1002_app.46123_part_1.txt_∂Œ1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,C(C1=CC=C(N2C(=O)C=CC2=O)C=C1)C1=CC=C(N2C(=O)C=CC2=O)C=C1,,,,93,10.1016_j.polymer.2018.06.008_part_6.txt_∂Œ1_Material1
[*]CC(C#N)[*],[*]CC([*])Cl,,,,100,10.1016_j.rineng.2020.100144_part_1.txt_∂Œ1_Material1
O=C(O[*])CCCCCCCCCCN[*],OP(O)(O)=O,,,,43,10.3390_ma12172833_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,,,143,10.1007_s00170-009-2507-8_part_2.txt_∂Œ1_Material2
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,,,143,10.1007_s00170-009-2507-8_part_2.txt_∂Œ1_Material4
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,,,125,10.1016_j.polymer.2015.07.059_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]CCC(CCCC(CCCC(C[*])C)C)C,C[Si](C)(C[*])O[*],,,66.3,10.1007_s00339-010-6034-0_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,61.9,10.1038_pj.2016.98_part_2.txt_∂Œ1_Material1
COC(C(C[*])([*])C)=O,[*]CC(C1=CC=CC=C1)[*],,,,110,10.1016_j.polymertesting.2019.106265_part_2.txt_∂Œ1_Material6
[*]CC([*])Cl,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,84,10.1002_vnl.21680_part_2.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,[H]O[H],,,,37,10.1039_c4sm02535k_part_6.txt_∂Œ1_Material1
O=C(C(C[*])[*])N,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,118,10.1016_j.colsurfb.2010.12.030_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]NC(C)C(N1CCCC1C([*])=O)=O,,,,82.9,10.1007_s10570-014-0372-6_part_2.txt_∂Œ1_Material2
[*]CC(OC(O[*])=O)C,C=C([CH3])C(=O)O[CH3],,,,33.9,10.1039_d2py00442a_OA_part_2.txt_∂Œ1_Material1
[*]CC(OC(O[*])=O)C,[*]C(C[*])C(N(C)C)=O,,,,33.9,10.1039_d2py00442a_OA_part_2.txt_∂Œ1_Material5
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,,83,10.1177_1099636218781995_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,,,,60.9,10.1515_polyeng-2018-0256_part_1.txt_∂Œ1_Material3
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,143,10.1007_s00170-009-2507-8_part_2.txt_∂Œ1_Material3
[*]C/C=C/C[*],[*]C(C=C1)=CC=C1S[*],,,,111,10.1016_j.eurpolymj.2015.12.012_part_7.txt_∂Œ1_Material2
COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,[*]C([H])([H])C(O)([H])[*],,,,78,10.1021_am403451w_part_1.txt_∂Œ1_Material1
[*]CC(OC(O[*])=O)C,[*]CC(C1=CC=CC=C1)[*],,,,20.8,10.1039_d2py00442a_OA_part_2.txt_∂Œ1_Material4
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C([H])([H])C(O)([H])[*],,,,27,10.1007_s10853-019-03958-y_part_2.txt_∂Œ1_Material2
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=C([*])C(C)O[*],,,,27,10.1007_s10853-019-03958-y_part_2.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],[*]CC([*])Cl,,,,92.23,10.1002_masy.201050404_part_1.txt_∂Œ1_Material1
O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,[*]OCC[*],,,,59.5,10.1007_s00289-021-03632-x_part_4.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],C=C([CH3])C(=O)O[CH3],,,,122.6,10.1179_1743289814y.0000000102_part_1.txt_∂Œ1_Material1
O=C(CCCCCCCCCCC(NCCCCCCCCCCN[*])=O)[*],,,,,45,10.1108_rpj-09-2018-0258_part_1.txt_∂Œ1_Material1
[*]OCC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,71,10.1515_hf-2020-0076_part_1.txt_∂Œ1_Material7
[*]C(F)(C(F)([*])F)F,C[Si](C)(C[*])O[*],,,,125.85000000000002,10.2320_matertrans.maw201416_part_1.txt_∂Œ1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]C/C=C/CCC(C/C=C\C[*])C=C,,,,110,10.1002_pen.25445_part_3.txt_∂Œ1_Material1
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,164,10.1021_ie901767y_part_1.txt_∂Œ1_Material2
[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1,[*]CCC1C([*])C2CCC1C2,,,,78,10.3144_expresspolymlett.2020.31_part_1.txt_∂Œ1_Material1
[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,,,,,53,10.1016_j.polymertesting.2017.10.017_part_1.txt_∂Œ1_Material2
C=C([CH3])C(=O)O[CH3],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,105,10.1016_j.matdes.2012.08.071_part_1.txt_∂Œ1_Material1
[*]C(OCCCO[*])=O,,,,,19,10.1039_c8cs00161h_part_1.txt_∂Œ1_Material10
O=C([*])C(C)O[*],[Ag],,,,66.1,10.1002_adfm.201101985_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],COC(C(C[*])([*])C)=O,[*]C(CCCCC(OCCCCO[*])=O)=O,,,64.2,10.1002_adv.21632_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCC[*],O=C([*])C(C)O[*],[*]OCC[*],,50,10.1002_app.41030_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,[*]OCC[*],[*]C/C=C(C[*])\Cl,,58,10.1002_app.42305_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]CC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,58,10.1002_app.50784_part_1.txt_∂Œ1_Material1
