SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Melting Temperature (°„C),¿¥‘¥
[*]C(C=C1)=CC=C1S[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,279.8,10.1002_pc.25234_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC([*])CC,,,,123.99,10.1155_2014_654260_part_2.txt_∂Œ1_Material1
[*]CC([*])Cl,[*]CCCC([*])OC(C)=O,,,,85.89,10.1016_j.matdes.2014.09.027_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,200,10.1002_jps.23315_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],C=C([CH3])C(=O)OC([CH3])[CH3],,,,160,10.1002_app.36445_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]CC[*],,,222,10.1016_j.polymer.2013.02.001_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]OCC[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],[*]OCC[*],,130,10.1016_j.compscitech.2012.12.013_part_1.txt_∂Œ1_Material2
[*]C(C)C[*],[*]OC1C(O)C(O)C(OC2C(CO)OC([*])C(O)C2O)OC1CO,,,,165,10.1080_10426914.2015.1059444_part_4.txt_∂Œ1_Material1
[*]CC([*])Cl,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(CCCCCCCCCCCCCCCCC)O[Ca]OC(CCCCCCCCCCCCCCCCC)=O,,,140,10.1177_0307174x1203900610_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[Mg],,,,165.1,10.1007_s13726-017-0593-2_part_2.txt_∂Œ1_Material1
C/C(C[*])=C/C[*],[*]C(C)C[*],,,,155,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_∂Œ1_Material3
O=C([*])C(C)O[*],[*]CCCC([*])C(OC)=O,[*]CC(CC)([*])C(OCC1=CC=CC=C1)=O,,,169.5,10.1021_am502337u_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],C[Si](C)(C[*])O[*],,,,228,10.1016_j.compscitech.2018.06.007_part_1.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC(C1=CC=CC=C1)[*],[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,,,118,10.1021_acsapm.0c00892_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,148,10.1080_00222348.2013.861313_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,229,10.1016_j.matchemphys.2020.123465_part_7.txt_∂Œ1_Material1
C[Si](C)(C[*])O[*],C[Si](C)(C[*])O[*],,,,120,10.1155_2015_758474_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CCC(CCCCCC)C[*],,,162.9,10.1080_00914037.2013.769225_part_2.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(CCCCCO[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,110,10.1177_0885328216664448_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]CC([*])N1CCCC1=O,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,220,10.1002_pen.24801_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,C[N+](CCO)(CCO)[3H],,,149.2,10.1515_polyeng-2018-0256_part_1.txt_∂Œ1_Material4
[*]CC[*],[*]C/C=C/CCC([*])C#N,,,,132,10.1016_j.radphyschem.2015.12.002_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,89.7,10.1016_j.carbpol.2016.08.048_part_2.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],[Na+].[Cl-],,,,191.1,10.1002_app.45981_part_2.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,225,10.1016_j.compstruct.2014.04.006_part_8.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],O=[Si]=O,,,,219.3,10.1177_0040517512456756_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[Cu],,,,153.45000000000005,10.1016_j.porgcoat.2018.11.024_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],,,,128.2,10.1002_app.41892_part_2.txt_∂Œ1_Material1
[*]OC1=C(C([*])=CC=C1C)C,[*]C(C)C[*],,,,115,10.1016_j.polymer.2018.05.075_part_2.txt_∂Œ1_Material1
[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC[*],[C],,,130,10.1002_app.45512_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,,,104.8,10.1016_j.carbpol.2018.11.036_part_5.txt_∂Œ1_Material1
[*]CC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C1C=CC(O1)=O.C=C,,,130,10.1177_0731684410391507_part_2.txt_∂Œ1_Material1
[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[*]C(C)C[*],,,,163.9,10.1007_s12221-012-1300-8_part_2.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,,,,,165,10.1016_j.surfin.2021.101254_part_3.txt_∂Œ1_Material2
[*]CC([*])Cl,[*]OC1C(O)C(O)C(OC2C(CO)OC([*])C(O)C2O)OC1CO,,,,180,10.3390_ma13030753_part_1.txt_∂Œ1_Material2
[*]NC(C)C(N1CCCC1C([*])=O)=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,86.9,10.1080_10942912.2016.1190745_part_4.txt_∂Œ1_Material1
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,345,10.1016_j.polymer.2021.123865_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]CC(C#N)[*],,,,220,10.1088_0964-1726_23_7_075016_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,153,10.4028_www.scientific.net_amm.117-119.1343_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,,122.6,10.1002_app.32305_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=[Ti]=O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO,,115,10.1080_19443994.2015.1084597_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,121.5,10.1021_la4023079_part_1.txt_∂Œ1_Material1
[*]CC[*],O=[Ti]=O,,,,135,10.1155_2011_964353_part_1.txt_∂Œ1_Material1
[*]CC[*],O1C(=O)C=CC1=O,,,,120,10.1016_j.compositesb.2011.01.010_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]OC1C(O)C(O)C(OC2C(CO)OC([*])C(O)C2O)OC1CO,,,,135,10.1080_10426914.2015.1059444_part_4.txt_∂Œ1_Material2
[*]CC[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,134,10.1016_j.polymer.2019.03.036_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC[*],O=[Si]=O,,,244,10.1002_pc.21078_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCC[*],CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,200,10.1002_app.40394_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,C[Si](O[*])(C)[*],,,,60.4,10.1016_j.matlet.2014.05.184_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,[Zn]=O,,,,178,10.1002_pc.25415_part_1.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,196.51,10.1002_app.47504_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,,132.9,10.1002_pc.24096_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,144.4,10.1016_j.compositesb.2014.10.013_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,45,10.3144_expresspolymlett.2018.43_part_3.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],FC(F)([*])C([H])([*])[H],,,,155.8,10.1016_j.compscitech.2021.108792_part_2.txt_∂Œ1_Material2
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,O=C(C(C[*])[*])N,,,,85,10.1016_j.polymertesting.2018.05.025_part_1.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]OCC[*],[*]C([H])([H])C(O)([H])[*],,,178,10.1038_nprot.2011.379_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCC[*],C[N+](CCO)(CCO)[3H],,,150.9,10.1002_app.34841_part_1.txt_∂Œ1_Material1
O=C(C(C[*])[*])N,[*]OCC[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,130,10.1016_j.polymertesting.2017.09.012_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]CCCC([*])OC(C)=O,,,,120,10.1080_15440478.2018.1534192_part_4.txt_∂Œ1_Material3
[*]C(C)C[*],C/C(C[*])=C/C[*],[*]C(C)C[*],,,165,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,[*]OCC[*],,,160,10.1088_1757-899x_965_1_012030_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C(C)C[*],[*]C(C)C[*],,,220,10.1002_app.47690_part_1.txt_∂Œ1_Material2
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C([*])CCCCCN[*],,,,220,10.1007_s10570-020-03233-3_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[Na+].[Cl-],,,,130,10.1002_polb.23522_part_1.txt_∂Œ1_Material3
FC(F)([*])C([H])([*])[H],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,171,10.3390_ma13030743_part_2.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,95,10.1002_app.39512_part_1.txt_∂Œ1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=[Si]=O.O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O,,,,230,10.1108_rpj-12-2019-0321_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]O[C@H](C)CC([*])=O,,,,120,10.4028_www.scientific.net_kem.737.313_part_1.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],[*]C(CCCCCO[*])=O,,,,60,10.1007_s10853-018-03261-2_part_2.txt_∂Œ1_Material1
[*]CC[*],[H]O[H],,,,110,10.1177_1464420713482827_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C([*])C(C)O[*],,,159.6,10.4028_www.scientific.net_msf.789.117_part_1.txt_∂Œ1_Material1
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]C(C)C[*],,,,165,10.1080_00222348.2010.540994_part_1.txt_∂Œ1_Material2
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(C)C[*],,,,263,10.1016_j.matdes.2009.10.031_part_1.txt_∂Œ1_Material1
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(CC(/C=C/C1=CC=C(C(OC)=C1)O)=O)/C=C/C2=CC=C(O)C(OC)=C2,,,146,10.3390_molecules26082152_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,220,10.1080_20550340.2019.1703334_part_3.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],O=[Zr]=O,[Na+].[Cl-],,,155,10.1002_pc.24063_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCCCCCCC(NCCCCCCCCCCN[*])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,200,10.3139_217.3142_part_1.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],OCC(O)CO,,,,161,10.1007_s10924-014-0682-7_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([*])C(C)O[*],[*]C(C)C[*],,,165,10.1515_polyeng-2018-0073_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[Ag+],,,222.1,10.1016_j.ijbiomac.2015.06.042_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,165.2,10.1002_pen.24346_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OP(O)(O)=O,[*]OCCCCOC(CCC([*])=O)=O,OCC(O)CO,,93.8,10.1179_1743289815y.0000000031_part_1.txt_∂Œ1_Material1
C=C([CH3])C(=O)O[CH3],[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]CC[*],,,169,10.1016_j.bioactmat.2020.04.005_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,154,10.3390_polym13071076_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]NC(C(O)=O)CCC([*])=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,179,10.1016_j.bioactmat.2020.09.001_part_2.txt_∂Œ1_Material2
[*]C([H])([H])C(O)([H])[*],O=[Si]=O,,,,217,10.11113_jt.v78.4401_part_2.txt_∂Œ1_Material1
[*]OCC[*],[*]CCCCOCCCCOCCCCOCCCCO[*],,,,47.7,10.1038_pj.2013.39_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,150.05,10.1007_s10924-020-01927-0_part_1.txt_∂Œ1_Material2
[*]CC[*],O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,,134.7,10.1177_0892705714526911_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,,,334,10.1177_0954008316661616_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OCC[*],,,145.5,10.1016_j.mencom.2015.09.015_part_1.txt_∂Œ1_Material2
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]C(CCCCCO[*])=O,,,,50,10.1016_j.eurpolymj.2018.09.036_part_3.txt_∂Œ1_Material2
[*]CC([*])Cl,C=C([CH3])C(=O)O[CH3],,,,172,10.1016_j.polymer.2020.122911_part_8.txt_∂Œ1_Material2
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,,,,228,10.1016_j.matdes.2012.05.052_part_2.txt_∂Œ1_Material3
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OP(O)(O)=O,O=[Ti]=O,,,247,10.1016_j.egypro.2014.07.137_part_2.txt_∂Œ1_Material1
OP(O)(O)=O,[*]C(CCCCCO[*])=O,O=[Ti]=O,,,109.5,10.3139_217.2750_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])CCCCCN[*],,,,265,10.1002_app.50916_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[Al],,,,300,10.1002_app.47252_part_1.txt_∂Œ1_Material1
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]C(C)C[*],,,,160,10.1002_pen.24662_part_1.txt_∂Œ1_Material2
[*]NC(C(O)=O)CCC([*])=O,[*]NC(C)C(N1CCCC1C([*])=O)=O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,145,10.1039_d0gc01394c_part_7.txt_∂Œ1_Material3
NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,161,10.1016_j.tca.2017.05.002_part_1.txt_∂Œ1_Material2
[*]C(C)C[*],[*]CCCC([*])OC(C)=O,,,,162,10.1002_app.34015_part_1.txt_∂Œ1_Material1
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,223,10.3139_217.3142_part_1.txt_∂Œ1_Material1
[*]OCC[*],O=[Ti]=O,,,,27,10.1016_j.carbpol.2017.01.082_part_2.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,134,10.1016_j.ijbiomac.2018.04.149_part_3.txt_∂Œ1_Material4
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,257,10.1016_j.polymertesting.2016.08.019_part_4.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C([*])C(C)O[*],[*]CCCC([*])OC(C)=O,,,170,10.4028_www.scientific.net_amm.79.282_part_1.txt_∂Œ1_Material1
O=C(C(C[*])[*])N,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,40,10.1007_s10409-021-01079-x_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]CC[*],C/C(C[*])=C/C[*],,,93.3,10.1007_s13726-015-0329-0_part_2.txt_∂Œ1_Material4
OP(O)(O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,79,10.1002_masy.201400080_part_1.txt_∂Œ1_Material3
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,150,10.1016_j.compositesa.2020.106068_part_3.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC[*],O=[Si]=O,,,113,10.1080_03602559.2014.886066_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,C(CC=O)CC=O,,,,63.4,10.1002_jbm.a.32850_part_2.txt_∂Œ1_Material3
[*]OC(CC(OC(CC([*])=O)CC)=O)C,O=C([*])C(C)O[*],,,,116.3,10.1002_pc.24538_part_2.txt_∂Œ1_Material2
[*]CC[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]OCC[*],,,129,10.1016_j.carbpol.2015.09.020_part_3.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]CC[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,270,10.1016_j.compscitech.2018.09.007_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OP(O)(O)=O,[Zn]=O,,,248,10.1016_j.egypro.2014.07.137_part_2.txt_∂Œ1_Material2
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,O=C([*])C(C)O[*],,,,167,10.1038_pj.2011.3_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CC(OC(O[*])=O)C,,,135.6,10.1007_s00289-019-02942-5_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCC[*],,,169,10.1007_s10570-014-0476-z_part_3.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,C=C([CH3])C(=O)OC([CH3])[CH3],,,148.88,10.1002_app.44734_part_1.txt_∂Œ1_Material1
[*]NCCCCCCCCCCCC([*])=O,[C],,,,176,10.1016_j.compscitech.2010.12.028_part_1.txt_∂Œ1_Material1
O=C(O)C([*])C[*],[Zn]=O,,,,203,10.1007_s00289-019-02860-6_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,,168,10.1016_j.compositesa.2015.05.010_part_2.txt_∂Œ1_Material1
[*]NCCCCCCCCCCCC([*])=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,,,154.7,10.1016_j.eurpolymj.2011.09.017_part_2.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,190,10.1039_c4ra13972k_part_3.txt_∂Œ1_Material2
[*]C(C)C[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,154.45,10.1515_jmbm-2025-0038_OA_part_1.txt_∂Œ1_Material2
